Speaker,Sentence,Senti_Score
P1,Wer ist Pink?,0
P2,Bin beschäftigt!,0
P1,"Okay, dann warte ich erstmal, ich bin bei dem Grünen draußen.",0
P3,"Und wenn du wieder, wenn du wieder rein kommst, hier links da, hier.",0.8
P2,"Wie war, wo war der?",0
P1,"Lara, du bist Pink.",0.5
P2,"Ne, ich bin Pink!",-0.8
P1,"Ah, Simone?",0
P1,Ich bin draußen bei dem Grünen.,-0.7
P1,"Ich bin jetzt ready, Lila.",0
P4,Einmal zu Rosa raus.,-0.5
P3,"Ah, du bist Rosa, P4?",0.95
P4,"Ja, genau, aber ich muss erst mal schauen, wo der Zielpunkt ist.",0
P1,"Ich bin draußen und steh bei dem Grünen, aber es tut sich nichts.",0
P1,Was soll ich jetzt tun?,0
P3,"Warte, ich komm mal zu dir.",0.7
P3,"Vielleicht hilft’s, wenn wir zusammen schauen.",0.5
P2,"Ah, ich hab’s!",1
P2,"Ich bin bei Pink, aber ich weiß nicht, wohin jetzt damit.",-0.2
P4,Wo war der Zielpunkt für Rosa nochmal?,0
P1,"Ich hab den Grünen hier draußen, aber keiner kann ihn sehen.",-0.3
P2,"Ich bin bei Pink, aber ich seh den Zielpunkt nicht.",-0.5
P3,"Warten, wir müssen erstmal den Grünen finden, wenn wir das klären können!",-0.5
P1,"Okay, also grüner Punkt, du bleibst bei mir.",0.8
P2,"Und ich bleib bei Pink, ich hoffe, das hilft.",0.8
P3,Ich seh leider keine der Farben!,-0.8
P3,Nur Blau.,-0.5
P4,"Ich kann nur Rosa und Blau sehen, aber es gibt so viele Punkte!",0.8
P2,Ich warte noch bei Pink.,0
P2,"Es könnte helfen, wenn jemand anderes den Zielpunkt sieht.",0.5
P1,"Ahh, ich hab’s!",0.95
P1,Der Zielpunkt für Grün ist da hinten bei der Wand.,0
P1,Ich geh jetzt hin.,0
P3,"Ich lauf mal zu dir, P1, damit ich dir helfe.",0.8
P4,"Oh, Rosa ist auch hier, also bleib mal bei mir, P2.",0.8
P1,"Ich steh jetzt beim grünen Zielpunkt, was muss ich tun?",-0.3
P3,"Einfach mal drauf gehen, es könnte der richtige Punkt sein!",0.5
P4,"Ich hab Rosa abgelegt, was passiert jetzt?",0
P2,"Ich seh keinen Fortschritt bei Pink, aber vielleicht ist der Punkt noch nicht da.",0
P1,"Okay, das Grüne ist jetzt am richtigen Punkt.",0
P1,Was brauchen wir als Nächstes?,0
P4,"Ich hab Rosa, jetzt muss ich noch das Ziel finden!",0.2
P2,"Ich geh jetzt zu Blau, mal sehen, ob das hilft.",0.2
P3,Ich bin bei Blau und warte auf Anweisungen.,0
P1,"Ich komm zu Blau, ich seh’s jetzt!",1
P1,Was genau muss ich hier tun?,0.2
P2,"Du musst drauf gehen, P1, der Punkt ist hier!",0.5
P3,Ich kann nichts mehr sehen!,-0.9
P3,Es ist so viel Chaos hier.,-0.8
P4,"Das geht uns allen so, aber wenn wir jetzt weiter fokussiert bleiben, schaffen wir’s.",0.8
P1,Wer ist bei Lila?,0
P1,"Wir brauchen dringend Lila, sonst geht nichts voran.",0.8
